time_range,city,outdoor_temperature,outdoor_humidity,outdoor_wind_speed,outdoor_pm2_5,outdoor_pm10,outdoor_co,outdoor_no2,outdoor_o3,indoor_humidity,indoor_temperature
"2024-11-26 [00:00, 00:15)",London,6.2,81,15.5,8.88,17.02,279.35,21.275,62.0,34,24
"2024-11-26 [00:15, 00:30)",London,5.3,87,15.5,8.88,17.02,279.35,21.275,62.0,34,24
"2024-11-26 [00:30, 00:45)",London,5.2,87,15.5,8.88,17.02,279.35,21.275,62.0,34,24
"2024-11-26 [00:45, 01:00)",London,5.2,87,15.5,8.88,17.02,279.35,21.275,62.0,34,24
"2024-11-26 [01:00, 01:15)",London,5.2,87,15.5,8.88,17.02,279.35,21.275,62.0,34,24
"2024-11-26 [01:15, 01:30)",London,5.0,87,15.5,8.88,17.02,279.35,21.275,62.0,34,24
"2024-11-26 [01:45, 02:00)",London,6.2,81,15.5,8.88,17.02,279.35,21.275,62.0,35,24
"2024-11-26 [02:00, 02:15)",London,6.0,81,15.1,8.695,16.465,277.5,16.465,65.0,35,24
"2024-11-26 [02:15, 02:30)",London,6.2,87,15.1,8.695,16.465,277.5,16.465,65.0,35,24
"2024-11-26 [02:30, 02:45)",London,6.2,87,15.1,8.695,16.465,277.5,16.465,65.0,35,24
"2024-11-26 [02:45, 03:00)",London,6.4,81,15.1,8.695,16.465,277.5,16.465,65.0,35,24
"2024-11-26 [03:00, 03:15)",London,6.3,81,15.1,8.325,16.835,275.65,14.245,65.0,35,24
"2024-11-26 [03:15, 03:30)",London,6.1,87,15.1,8.325,16.835,275.65,14.245,65.0,35,24
"2024-11-26 [03:30, 03:45)",London,6.2,87,15.1,8.325,16.835,275.65,14.245,65.0,35,24
"2024-11-26 [03:45, 04:00)",London,6.1,87,15.1,8.325,16.835,275.65,14.245,65.0,35,24
"2024-11-26 [04:00, 04:15)",London,6.3,87,15.8,7.955,17.205,273.8,13.135,65.0,34,24
"2024-11-26 [04:15, 04:30)",London,6.0,87,15.8,7.955,17.205,273.8,13.135,65.0,34,24
"2024-11-26 [04:30, 04:45)",London,6.2,87,15.8,7.955,17.205,273.8,13.135,65.0,34,24
"2024-11-26 [04:45, 05:00)",London,6.2,87,15.8,7.955,17.205,273.8,13.135,65.0,34,24
"2024-11-26 [05:00, 05:15)",London,6.1,87,15.8,8.325,17.575,275.65,14.245,63.0,34,24
"2024-11-26 [05:15, 05:30)",London,6.1,87,15.8,8.325,17.575,275.65,14.245,63.0,34,24
"2024-11-26 [05:45, 06:00)",London,6.4,87,15.8,8.325,17.575,275.65,14.245,63.0,34,24
"2024-11-26 [06:00, 06:15)",London,6.4,87,13.0,9.435,17.945,281.2,26.27,59.0,34,24
"2024-11-26 [06:15, 06:30)",London,6.4,87,11.9,9.435,17.945,281.2,26.27,59.0,35,24
