city,temperature,humidity,wind_speed,pm2_5,pm10,co,no2,o3,last_updated,timestamp
London,11.1,76,15.5,7.4,18.5,294.15,31.08,61.0,2024-11-25 10:30,10:38:38
London,11.3,76,15.5,7.4,18.5,294.15,31.08,61.0,2024-11-25 10:45,10:48:38
London,11.3,76,15.5,7.4,18.5,294.15,31.08,61.0,2024-11-25 10:45,10:58:39
London,11.3,76,17.6,7.4,17.205,286.75,26.455,64.0,2024-11-25 11:00,11:08:42
London,11.1,76,17.6,7.4,17.205,286.75,26.455,64.0,2024-11-25 11:15,11:18:42
London,11.1,76,17.6,7.4,17.205,286.75,26.455,64.0,2024-11-25 11:15,11:28:43
London,12.0,71,17.6,7.4,17.205,286.75,26.455,64.0,2024-11-25 11:15,11:38:47
London,12.0,71,18.7,8.14,19.795,299.7,29.6,59.0,2024-11-25 11:45,11:48:47
London,12.0,71,18.7,8.14,19.795,299.7,29.6,59.0,2024-11-25 11:45,11:58:47
London,12.3,71,20.9,8.14,17.39,294.15,25.53,63.0,2024-11-25 12:00,12:08:48
London,11.2,71,20.9,8.14,17.39,294.15,25.53,63.0,2024-11-25 12:15,12:18:48
London,11.2,71,20.9,8.14,17.39,294.15,25.53,63.0,2024-11-25 12:15,12:28:48
London,12.3,67,20.9,8.14,17.39,294.15,25.53,63.0,2024-11-25 12:30,12:38:48
London,12.3,67,20.9,8.14,17.39,294.15,25.53,63.0,2024-11-25 12:45,12:48:49
London,12.3,67,20.9,8.14,17.39,294.15,25.53,63.0,2024-11-25 12:45,12:58:52
London,12.1,67,20.9,7.77,15.54,290.45,24.605,65.0,2024-11-25 13:00,13:08:53
London,12.0,62,20.9,7.77,15.54,290.45,24.605,65.0,2024-11-25 13:15,13:18:57
London,12.0,62,20.9,7.77,15.54,290.45,24.605,65.0,2024-11-25 13:15,13:28:57
London,12.2,62,20.9,7.77,15.54,290.45,24.605,65.0,2024-11-25 13:30,13:38:58
London,12.2,62,20.9,7.77,15.54,290.45,24.605,65.0,2024-11-25 13:45,13:48:58
London,12.2,62,20.9,7.77,15.54,290.45,24.605,65.0,2024-11-25 13:45,13:59:06
London,12.1,62,20.9,7.77,15.54,290.45,24.605,65.0,2024-11-25 13:45,14:09:07
London,11.1,62,22.0,7.77,16.835,290.45,24.235,65.0,2024-11-25 14:15,14:19:07
London,11.1,62,22.0,7.77,16.835,290.45,24.235,65.0,2024-11-25 14:15,14:29:07
London,10.2,62,22.0,7.77,16.835,290.45,24.235,65.0,2024-11-25 14:15,14:39:08
